# This is a data table for pyrolite computed using Perple_X.
# Independent variables are temperature and pressure.
# POINTS: 200 200
T(K)           P(bar)         s,J/K/kg       rho,kg/m3      alpha,1/K      cp,J/K/m3      vp,km/s        vs,km/s        h,J/kg        
  260.000       0.250000        539.631        3332.26       0.212028E-004  0.257440E+007   8.11594        4.74713      -0.134383E+008
  281.307       0.250000        602.394        3330.78       0.224242E-004  0.272923E+007   8.10848        4.74229      -0.134214E+008
  302.613       0.250000        663.759        3329.22       0.234987E-004  0.286259E+007   8.10062        4.73717      -0.134034E+008
  323.920       0.250000        723.529        3327.60       0.244495E-004  0.297774E+007   8.09244        4.73187      -0.133847E+008
  345.226       0.250000        781.564        3325.91       0.252968E-004  0.307746E+007   8.08386        4.72630      -0.133653E+008
  366.533       0.250000        837.855        3324.18       0.260576E-004  0.316418E+007   8.07503        4.72061      -0.133453E+008
  387.839       0.250000        892.351        3322.35       0.267468E-004  0.323985E+007   8.06577        4.71465      -0.133247E+008
  409.146       0.250000        945.149        3320.48       0.273753E-004  0.330619E+007   8.05625        4.70856      -0.133037E+008
  430.452       0.250000        1011.23        3216.18       0.265481E-004  0.327486E+007   7.79983        4.50859      -0.132759E+008
  451.759       0.250000        1060.87        3214.37       0.270613E-004  0.332362E+007   7.78955        4.50231      -0.132540E+008
  473.065       0.250000        1108.99        3212.54       0.275468E-004  0.336690E+007   7.77897        4.49596      -0.132317E+008
  494.372       0.250000        1155.53        3210.66       0.280110E-004  0.340548E+007   7.76810        4.48951      -0.132092E+008
  515.678       0.250000        1200.72        3208.77       0.284594E-004  0.344002E+007   7.75686        4.48299      -0.131864E+008
  536.985       0.250000        1244.43        3206.83       0.288972E-004  0.347106E+007   7.74531        4.47636      -0.131634E+008
  558.291       0.250000        1286.78        3204.86       0.293293E-004  0.349907E+007   7.73349        4.46966      -0.131402E+008
  579.598       0.250000        1327.85        3202.85       0.297611E-004  0.352446E+007   7.72129        4.46289      -0.131169E+008
  600.905       0.250000        1367.72        3200.81       0.301979E-004  0.354757E+007   7.70865        4.45605      -0.130933E+008
  622.211       0.250000        1406.48        3198.75       0.306461E-004  0.356870E+007   7.69549        4.44917      -0.130696E+008
  643.518       0.250000        1444.17        3196.65       0.311132E-004  0.358813E+007   7.68170        4.44222      -0.130458E+008
  664.824       0.250000        1480.84        3194.52       0.316090E-004  0.360609E+007   7.66717        4.43524      -0.130218E+008
  686.131       0.250000        1516.56        3192.36       0.321468E-004  0.362280E+007   7.65169        4.42821      -0.129977E+008
  707.437       0.250000        1551.36        3190.16       0.327458E-004  0.363850E+007   7.63500        4.42114      -0.129734E+008
  728.744       0.250000        1585.29        3187.92       0.334368E-004  0.365340E+007   7.61664        4.41404      -0.129490E+008
  750.050       0.250000        1618.41        3185.63       0.342709E-004  0.366784E+007   7.59592        4.40691      -0.129246E+008
  771.357       0.250000        1650.75        3183.28       0.353475E-004  0.368224E+007   7.57152        4.39976      -0.129000E+008
  792.663       0.250000        1682.35        3180.85       0.368902E-004  0.369752E+007   7.54072        4.39260      -0.128753E+008
  813.970       0.250000        1713.29        3178.28       0.395677E-004  0.371617E+007   7.49645        4.38546      -0.128504E+008
  835.276       0.250000        1743.64        3175.40       0.473503E-004  0.375281E+007   7.40708        4.37839      -0.128254E+008
  856.583       0.250000        1773.53        3172.07       0.285851E-004  0.369197E+007   7.72230        4.37148      -0.128001E+008
  877.889       0.250000        1802.18        3170.15       0.287824E-004  0.370016E+007   7.71201        4.36393      -0.127752E+008
  899.196       0.250000        1830.23        3168.22       0.289790E-004  0.370789E+007   7.70167        4.35635      -0.127503E+008
  920.503       0.250000        1857.91        3205.56       0.317117E-004  0.376518E+007   7.66317        4.37742      -0.127251E+008
  941.809       0.250000        1884.87        3203.45       0.319515E-004  0.377213E+007   7.65077        4.36980      -0.127000E+008
  963.116       0.250000        1911.35        3201.38       0.321940E-004  0.377880E+007   7.63832        4.36221      -0.126748E+008
  984.422       0.250000        1937.31        3199.29       0.324374E-004  0.378515E+007   7.62576        4.35457      -0.126495E+008
  1005.73       0.250000        1962.78        3197.19       0.326824E-004  0.379122E+007   7.61311        4.34691      -0.126242E+008
  1027.04       0.250000        1987.78        3195.08       0.329295E-004  0.379703E+007   7.60036        4.33921      -0.125988E+008
  1048.34       0.250000        2012.61        3193.24       0.331923E-004  0.380300E+007   7.58738        4.33173      -0.125730E+008
  1069.65       0.250000        2036.79        3191.19       0.334481E-004  0.380848E+007   7.57440        4.32405      -0.125474E+008
  1090.95       0.250000        2060.50        3189.08       0.337044E-004  0.381371E+007   7.56134        4.31629      -0.125218E+008
  1112.26       0.250000        2083.85        3187.03       0.339670E-004  0.381887E+007   7.54815        4.30857      -0.124960E+008
  1133.57       0.250000        2106.83        3184.98       0.342340E-004  0.382390E+007   7.53485        4.30083      -0.124702E+008
  1154.87       0.250000        2129.41        3182.90       0.345041E-004  0.382878E+007   7.52146        4.29307      -0.124444E+008
  1176.18       0.250000        2151.53        3180.69       0.347717E-004  0.383338E+007   7.50801        4.28515      -0.124186E+008
  1197.49       0.250000        2173.37        3178.57       0.350487E-004  0.383801E+007   7.49441        4.27730      -0.123927E+008
  1218.79       0.250000        2194.88        3176.45       0.353311E-004  0.384257E+007   7.48070        4.26944      -0.123667E+008
  1240.10       0.250000        2216.13        3174.41       0.356237E-004  0.384719E+007   7.46682        4.26165      -0.123405E+008
  1261.41       0.250000        2237.01        3172.29       0.359181E-004  0.385166E+007   7.45287        4.25378      -0.123144E+008
  1282.71       0.250000        2256.94        3169.27       0.361656E-004  0.385477E+007   7.43914        4.24489      -0.122890E+008
  1304.02       0.250000        2277.21        3167.08       0.364680E-004  0.385908E+007   7.42493        4.23689      -0.122628E+008
  1325.33       0.250000        2297.19        3164.89       0.367771E-004  0.386337E+007   7.41058        4.22886      -0.122366E+008
  1346.63       0.250000        2316.91        3162.70       0.370936E-004  0.386765E+007   7.39610        4.22083      -0.122102E+008
  1367.94       0.250000        2336.36        3160.52       0.374183E-004  0.387196E+007   7.38147        4.21279      -0.121838E+008
  1389.25       0.250000        2355.56        3158.33       0.377509E-004  0.387628E+007   7.36668        4.20472      -0.121573E+008
  1410.55       0.250000        2374.52        3156.14       0.380922E-004  0.388062E+007   7.35175        4.19664      -0.121308E+008
  1431.86       0.250000        2393.23        3153.95       0.384430E-004  0.388501E+007   7.33665        4.18856      -0.121042E+008
  1453.17       0.250000        2412.41        3153.21       0.389024E-004  0.389175E+007   7.32121        4.18259      -0.120765E+008
  1474.47       0.250000        2429.99        3149.58       0.391761E-004  0.389399E+007   7.30594        4.17240      -0.120508E+008
  1495.78       0.250000        2448.04        3147.40       0.395598E-004  0.389861E+007   7.29032        4.16432      -0.120240E+008
  1517.09       0.250000        2465.89        3145.23       0.399559E-004  0.390332E+007   7.27452        4.15625      -0.119971E+008
  1538.39       0.250000        2483.53        3143.06       0.403650E-004  0.390813E+007   7.25851        4.14818      -0.119702E+008
  1559.70       0.250000        2501.88        3143.44       0.409699E-004  0.391725E+007   7.24289        4.14446      -0.119417E+008
  1581.01       0.250000        2518.25        3138.77       0.412294E-004  0.391820E+007   7.22590        4.13215      -0.119160E+008
  1602.31       0.250000        2535.33        3136.65       0.416856E-004  0.392347E+007   7.20927        4.12416      -0.118888E+008
  1623.62       0.250000        2553.25        3137.82       0.423973E-004  0.393447E+007   7.19406        4.12230      -0.118599E+008
  1644.92       0.250000        2568.97        3132.44       0.426537E-004  0.393458E+007   7.17533        4.10833      -0.118342E+008
  1666.23       0.250000        2585.55        3130.39       0.431703E-004  0.394050E+007   7.15803        4.10054      -0.118068E+008
  1687.54       0.250000        2601.98        3128.37       0.437096E-004  0.394669E+007   7.14049        4.09282      -0.117792E+008
  1708.84       0.250000        2618.25        3126.37       0.442737E-004  0.395315E+007   7.12271        4.08520      -0.117516E+008
  1730.15       0.250000        2634.38        3124.41       0.448645E-004  0.395993E+007   7.10469        4.07767      -0.117238E+008
  1751.46       0.250000        2650.38        3122.52       0.454866E-004  0.396711E+007   7.08645        4.07033      -0.116960E+008
  1772.76       0.250000        2666.26        3120.70       0.461417E-004  0.397471E+007   7.06801        4.06317      -0.116680E+008
  1794.07       0.250000        2682.01        3118.93       0.468317E-004  0.398275E+007   7.04934        4.05619      -0.116399E+008
  1815.38       0.250000        2697.65        3117.24       0.475601E-004  0.399130E+007   7.03047        4.04942      -0.116117E+008
  1836.68       0.250000        2713.18        3115.63       0.483308E-004  0.400040E+007   7.01139        4.04290      -0.115833E+008
  1857.99       0.250000        2728.63        3114.15       0.491496E-004  0.401017E+007   6.99218        4.03673      -0.115548E+008
  1879.30       0.250000        2743.98        3112.76       0.500187E-004  0.402061E+007   6.97276        4.03085      -0.115261E+008
  1900.60       0.250000        2760.35        3115.24       0.513123E-004  0.403930E+007   6.95465        4.03271      -0.114951E+008
  1921.91       0.250000        2775.42        3112.57       0.523647E-004  0.404975E+007   6.92745        4.02369      -0.114663E+008
  1943.22       0.250000        2790.23        3109.14       0.534354E-004  0.405961E+007   6.89869        4.01319      -0.114377E+008
  1964.52       0.250000        2804.98        3106.10       0.545629E-004  0.407068E+007   6.87134        4.00378      -0.114088E+008
  1985.83       0.250000        2819.66        3102.91       0.557957E-004  0.408264E+007   6.84233        3.99411      -0.113798E+008
  2007.14       0.250000        2834.44        3105.69       0.565777E-004  0.409978E+007   6.84858        4.00021      -0.113504E+008
  2028.44       0.250000        2849.21        3104.25       0.579549E-004  0.411584E+007   6.82504        3.99488      -0.113206E+008
  2049.75       0.250000        2864.01        3102.84       0.595099E-004  0.413374E+007   6.79938        3.98964      -0.112904E+008
  2071.06       0.250000        2878.28        3099.96       0.609964E-004  0.414958E+007   6.77270        3.98147      -0.112610E+008
  2092.36       0.250000        2892.38        3090.72       0.633801E-004  0.416440E+007   6.70702        3.95742      -0.112316E+008
